

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.991  000.981: event init
001.206  000.215: early init
002.127  000.921: locale set
002.150  000.023: init first window
003.001  000.851: inits 1
003.011  000.010: window checked
003.013  000.002: parsing arguments
004.091  000.052  000.052: require('vim.shared')
004.159  000.024  000.024: require('vim._meta')
004.160  000.065  000.041: require('vim._editor')
004.161  000.144  000.027: require('vim._init_packages')
004.162  001.005: init lua interpreter
005.989  001.827: expanding arguments
006.015  000.025: inits 2
006.216  000.202: init highlight
006.217  000.001: waiting for UI
009.735  003.518: done waiting for UI
009.747  000.012: init screen for UI
009.867  000.119: init default mappings
009.874  000.008: init default autocommands
033.542  000.310  000.310: sourcing /opt/homebrew/Cellar/neovim/0.8.1/share/nvim/runtime/ftplugin.vim
036.567  000.235  000.235: sourcing /opt/homebrew/Cellar/neovim/0.8.1/share/nvim/runtime/indent.vim
053.637  016.235  016.235: require('yasser.settings')
054.034  000.395  000.395: require('yasser.globals')
061.156  007.121  007.121: require('impatient')
061.506  000.092  000.092: require('packer.util')
061.519  000.184  000.092: require('packer')
061.599  000.078  000.078: require('packer.log')
061.772  000.038  000.038: require('packer.async')
061.871  000.043  000.043: require('packer.result')
061.873  000.100  000.057: require('packer.jobs')
061.875  000.192  000.053: require('packer.plugin_utils')
061.972  000.088  000.088: require('packer.snapshot')
062.092  000.933  000.391: require('yasser.plugins')
062.833  000.073  000.073: require('yasser.theme.indent-blankline')
063.581  000.039  000.039: require('notify.util.queue')
063.583  000.077  000.038: require('notify.util')
063.680  000.096  000.096: require('notify.config.highlights')
063.681  000.237  000.064: require('notify.config')
063.734  000.052  000.052: require('notify.stages')
063.794  000.058  000.058: require('notify.service.notification')
063.971  000.045  000.045: require('notify.animate.spring')
063.972  000.102  000.057: require('notify.animate')
063.976  000.182  000.080: require('notify.windows')
064.112  000.042  000.042: require('notify.service.buffer.highlights')
064.114  000.083  000.042: require('notify.service.buffer')
064.115  000.139  000.055: require('notify.service')
064.155  000.039  000.039: require('notify.stages.util')
064.157  000.753  000.047: require('notify')
064.159  000.791  000.038: require('nvim-tree.notify')
064.162  000.836  000.045: require('nvim-tree.events')
064.268  000.035  000.035: require('nvim-tree.log')
064.342  000.031  000.031: require('nvim-tree.iterators.node-iterator')
064.365  000.096  000.065: require('nvim-tree.utils')
064.502  000.136  000.136: require('nvim-tree.git.utils')
064.537  000.034  000.034: require('nvim-tree.git.runner')
064.573  000.035  000.035: require('nvim-tree.watcher')
064.606  000.032  000.032: require('nvim-tree.explorer.node')
064.608  000.412  000.044: require('nvim-tree.git')
064.644  000.036  000.036: require('nvim-tree.explorer.watch')
064.714  000.037  000.037: require('nvim-tree.explorer.node-builders')
064.748  000.033  000.033: require('nvim-tree.explorer.sorters')
064.783  000.035  000.035: require('nvim-tree.explorer.filters')
064.869  000.049  000.049: require('nvim-tree.view')
064.871  000.087  000.038: require('nvim-tree.live-filter')
064.872  000.227  000.036: require('nvim-tree.explorer.explore')
064.906  000.033  000.033: require('nvim-tree.explorer.reload')
064.907  000.744  000.037: require('nvim-tree.explorer')
064.908  001.616  000.035: require('nvim-tree.core')
064.945  000.036  000.036: require('nvim-tree.diagnostics')
064.985  000.038  000.038: require('nvim-tree.renderer.components.padding')
065.021  000.036  000.036: require('nvim-tree.renderer.components.icons')
065.058  000.036  000.036: require('nvim-tree.renderer.components.full-name')
065.091  000.033  000.033: require('nvim-tree.renderer.help')
065.160  000.040  000.040: require('nvim-tree.renderer.components.git')
065.216  000.055  000.055: require('nvim-tree.renderer.builder')
065.267  000.050  000.050: require('nvim-tree.marks')
065.269  002.019  000.079: require('nvim-tree.renderer')
065.318  000.047  000.047: require('nvim-tree.actions.tree-modifiers.collapse-all')
065.348  000.029  000.029: require('nvim-tree.actions.root.dir-up')
065.382  000.033  000.033: require('nvim-tree.actions.root.change-dir')
065.415  000.032  000.032: require('nvim-tree.actions.reloaders.reloaders')
065.447  000.031  000.031: require('nvim-tree.actions.finders.find-file')
065.448  002.246  000.055: require('nvim-tree.lib')
065.486  000.038  000.038: require('nvim-tree.colors')
065.521  000.034  000.034: require('nvim-tree.legacy')
065.560  000.038  000.038: require('nvim-tree.actions.fs.copy-paste')
065.645  000.049  000.049: require('nvim-tree.actions.tree-modifiers.expand-all')
065.686  000.040  000.040: require('nvim-tree.actions.tree-modifiers.toggles')
065.719  000.031  000.031: require('nvim-tree.actions.fs.create-file')
065.752  000.033  000.033: require('nvim-tree.actions.fs.rename-file')
065.792  000.038  000.038: require('nvim-tree.actions.fs.trash')
065.833  000.041  000.041: require('nvim-tree.actions.fs.remove-file')
065.883  000.048  000.048: require('nvim-tree.actions.moves.parent')
065.913  000.030  000.030: require('nvim-tree.actions.moves.sibling')
065.947  000.032  000.032: require('nvim-tree.actions.moves.item')
065.980  000.031  000.031: require('nvim-tree.actions.finders.search-node')
066.010  000.029  000.029: require('nvim-tree.actions.node.run-command')
066.041  000.030  000.030: require('nvim-tree.actions.node.file-popup')
066.087  000.045  000.045: require('nvim-tree.actions.node.system-open')
066.117  000.029  000.029: require('nvim-tree.marks.bulk-move')
066.118  000.556  000.050: require('nvim-tree.actions.dispatch')
066.189  000.003  000.003: require('vim.F')
066.220  000.095  000.093: require('vim.diagnostic')
066.225  003.326  000.318: require('nvim-tree')
066.254  000.029  000.029: require('nvim-tree.config')
067.558  000.050  000.050: require('vim.inspect')
068.508  000.094  000.094: require('nvim-tree.actions')
068.560  000.050  000.050: require('nvim-tree.actions.node.open-file')
069.565  000.043  000.043: require('nvim-tree.marks.navigation')
069.567  000.109  000.065: require('nvim-tree.api')
069.578  000.191  000.083: require('nvim-tree.keymap')
070.003  000.245  000.245: require('nvim-web-devicons')
071.617  008.782  004.797: require('yasser.nav.nvimtree')
071.760  000.081  000.081: require('alpha')
071.820  000.059  000.059: require('alpha.themes.dashboard')
071.843  000.223  000.084: require('yasser.theme.alpha')
071.896  000.052  000.052: require('nvim_comment')
072.053  000.047  000.047: require('project_nvim.config')
072.141  000.043  000.043: require('project_nvim.utils.path')
072.150  000.095  000.052: require('project_nvim.utils.history')
072.151  000.181  000.039: require('project_nvim')
072.235  000.046  000.046: require('project_nvim.utils.globtopattern')
072.500  000.223  000.223: require('project_nvim.project')
072.961  000.122  000.122: require('telescope._extensions')
072.970  000.361  000.238: require('telescope')
073.517  000.167  000.167: require('plenary.functional')
073.529  000.313  000.146: require('plenary.job')
074.004  000.039  000.039: require('plenary.bit')
